Name,Ticker,Sub-Sector
Reliance Industries Ltd,RELIANCE,Oil & Gas - Refining & Marketing
HDFC Bank Ltd,HDFCBANK,Private Banks
Bharti Airtel Ltd,BHARTIARTL,Telecom Services
Tata Consultancy Services Ltd,TCS,IT Services & Consulting
State Bank of India,SBIN,Public Banks
ICICI Bank Ltd,ICICIBANK,Private Banks
Larsen and Toubro Ltd,LT,Construction & Engineering
Bajaj Finance Ltd,BAJFINANCE,Consumer Finance
Infosys Ltd,INFY,IT Services & Consulting
Life Insurance Corporation Of India,LICI,Insurance
Hindustan Unilever Ltd,HINDUNILVR,FMCG - Household Products
Adani Power Ltd,ADANIPOWER,Power Generation
Sun Pharmaceutical Industries Ltd,SUNPHARMA,Pharmaceuticals
Adani Ports and Special Economic Zone Ltd,ADANIPORTS,Ports
Adani Enterprises Ltd,ADANIENT,Commodities Trading
Maruti Suzuki India Ltd,MARUTI,Four Wheelers
Axis Bank Ltd,AXISBANK,Private Banks
Kotak Mahindra Bank Ltd,KOTAKBANK,Private Banks
Titan Company Ltd,TITAN,"Precious Metals, Jewellery & Watches"
Mahindra and Mahindra Ltd,M&M,Four Wheelers
NTPC Ltd,NTPC,Power Generation
ITC Ltd,ITC,FMCG - Tobacco
HCL Technologies Ltd,HCLTECH,IT Services & Consulting
Oil and Natural Gas Corporation Ltd,ONGC,Oil & Gas - Exploration & Production
UltraTech Cement Ltd,ULTRACEMCO,Cement
JSW Steel Ltd,JSWSTEEL,Iron & Steel
Bharat Electronics Ltd,BEL,Electronic Equipments
Coal India Ltd,COALINDIA,Mining - Coal
Bajaj Auto Ltd,BAJAJ-AUTO,Two Wheelers
Hindustan Aeronautics Ltd,HAL,Aerospace & Defense Equipments
Bajaj Finserv Ltd,BAJAJFINSV,Insurance
Nestle India Ltd,NESTLEIND,FMCG - Foods
Avenue Supermarts Ltd,DMART,Retail - Department Stores
Hindustan Zinc Ltd,HINDZINC,Mining - Diversified
Tata Steel Ltd,TATASTEEL,Iron & Steel
Power Grid Corporation of India Ltd,POWERGRID,Power Transmission & Distribution
Hindalco Industries Ltd,HINDALCO,Metals - Aluminium
Asian Paints Ltd,ASIANPAINT,Paints
Adani Green Energy Ltd,ADANIGREEN,Renewable Energy
Eternal Ltd,ETERNAL,Online Services
Wipro Ltd,WIPRO,IT Services & Consulting
Shriram Finance Ltd,SHRIRAMFIN,Consumer Finance
Grasim Industries Ltd,GRASIM,Cement
Indian Oil Corporation Ltd,IOC,Oil & Gas - Refining & Marketing
Eicher Motors Ltd,EICHERMOT,Trucks & Buses
Adani Energy Solutions Ltd,ADANIENSOL,Power Infrastructure
Varun Beverages Ltd,VBL,Soft Drinks
SBI Life Insurance Company Ltd,SBILIFE,Insurance
Divi's Laboratories Ltd,DIVISLAB,Labs & Life Sciences Services
Interglobe Aviation Ltd,INDIGO,Airlines
Solar Industries India Ltd,SOLARINDS,Commodity Chemicals
ICICI Prudential Asset Management Company Ltd,ICICIAMC,Asset Management
TVS Motor Company Ltd,TVSMOTOR,Two Wheelers
BSE Ltd,BSE,Stock Exchanges & Ratings
Cummins India Ltd,CUMMINSIND,Industrial Machinery
Jio Financial Services Ltd,JIOFIN,Consumer Finance
Hitachi Energy India Ltd,POWERINDIA,Heavy Electrical Equipments
Tech Mahindra Ltd,TECHM,IT Services & Consulting
Vodafone Idea Ltd,IDEA,Telecom Services
Samvardhana Motherson International Ltd,MOTHERSON,Auto Parts
Hyundai Motor India Ltd,HYUNDAI,Four Wheelers
ABB India Ltd,ABB,Heavy Electrical Equipments
Trent Ltd,TRENT,Retail - Apparel
Pidilite Industries Ltd,PIDILITIND,Diversified Chemicals
DLF Ltd,DLF,Real Estate
Torrent Pharmaceuticals Ltd,TORNTPHARM,Pharmaceuticals
Tata Motors Passenger Vehicles Ltd,TMPV,Four Wheelers
Polycab India Ltd,POLYCAB,Electrical Components & Equipments
Bharat Heavy Electricals Ltd,BHEL,Heavy Electrical Equipments
CG Power and Industrial Solutions Ltd,CGPOWER,Heavy Electrical Equipments
Bank of Baroda Ltd,BANKBARODA,Public Banks
Tata Motors Ltd,TMCV,Trucks & Buses
Power Finance Corporation Ltd,PFC,Specialized Finance
Siemens Ltd,SIEMENS,Conglomerates
Tata Power Company Ltd,TATAPOWER,Power Transmission & Distribution
Muthoot Finance Ltd,MUTHOOTFIN,Consumer Finance
Vedanta Ltd,VEDL,Metals - Diversified
Siemens Energy India Ltd,ENRIN,Power Generation
LTM Ltd,LTM,IT Services & Consulting
Bharat Petroleum Corporation Ltd,BPCL,Oil & Gas - Refining & Marketing
Tata Capital Ltd,TATACAP,Consumer Finance
Cholamandalam Investment and Finance Company Ltd,CHOLAFIN,Consumer Finance
Indian Railway Finance Corp Ltd,IRFC,Specialized Finance
HDFC Life Insurance Company Ltd,HDFCLIFE,Insurance
Union Bank of India Ltd,UNIONBANK,Public Banks
Britannia Industries Ltd,BRITANNIA,FMCG - Foods
Jindal Steel Ltd,JINDALSTEL,Iron & Steel
GE Vernova T&D India Ltd,GVT&D,Heavy Electrical Equipments
Punjab National Bank,PNB,Public Banks
Billionbrains Garage Ventures Ltd,GROWW,Investment Banking & Brokerage
Canara Bank Ltd,CANBK,Public Banks
Apollo Hospitals Enterprise Ltd,APOLLOHOSP,Hospitals & Diagnostic Centres
Tata Consumer Products Ltd,TATACONSUM,Tea & Coffee
Bajaj Holdings and Investment Ltd,BAJAJHLDNG,Asset Management
Indus Towers Ltd,INDUSTOWER,Telecom Infrastructure
Cipla Ltd,CIPLA,Pharmaceuticals
Indian Bank,INDIANB,Public Banks
HDFC Asset Management Company Ltd,HDFCAMC,Asset Management
Bosch Ltd,BOSCHLTD,Auto Parts
Ambuja Cements Ltd,AMBUJACEM,Cement
Zydus Lifesciences Ltd,ZYDUSLIFE,Pharmaceuticals
Gail (India) Ltd,GAIL,Gas Distribution
JSW Energy Ltd,JSWENERGY,Power Generation
Dr Reddy's Laboratories Ltd,DRREDDY,Pharmaceuticals
Marico Ltd,MARICO,FMCG - Personal Products
LG Electronics India Ltd,LGEINDIA,Home Electronics & Appliances
GMR Airports Ltd (India),GMRAIRPORT,Construction & Engineering
Lupin Ltd,LUPIN,Pharmaceuticals
Lloyds Metals and Energy Ltd,LLOYDSME,Iron & Steel
Godrej Consumer Products Ltd,GODREJCP,FMCG - Personal Products
Mazagon Dock Shipbuilders Ltd,MAZDOCK,Shipbuilding
Hero MotoCorp Ltd,HEROMOTOCO,Two Wheelers
Mankind Pharma Ltd,MANKIND,Pharmaceuticals
Indian Hotels Company Ltd,INDHOTEL,"Hotels, Resorts & Cruise Lines"
United Spirits Ltd,UNITDSPR,Alcoholic Beverages
Max Healthcare Institute Ltd,MAXHEALTH,Hospitals & Diagnostic Centres
Aditya Birla Capital Ltd,ABCAPITAL,Diversified Financials
Lenskart Solutions Ltd,LENSKART,Retail - Speciality
Bharat Forge Ltd,BHARATFORG,Iron & Steel
Lodha Developers Ltd,LODHA,Real Estate
Shree Cement Ltd,SHREECEM,Cement
Oracle Financial Services Software Ltd,OFSS,Software Services
Waaree Energies Ltd,WAAREEENER,Renewable Energy Equipment & Services
Ashok Leyland Ltd,ASHOKLEY,Trucks & Buses
ICICI Lombard General Insurance Company Ltd,ICICIGI,Insurance
REC Ltd,RECLTD,Specialized Finance
Persistent Systems Ltd,PERSISTENT,Software Services
Ntpc Green Energy Ltd,NTPCGREEN,Renewable Energy
Steel Authority of India Ltd,SAIL,Iron & Steel
NMDC Ltd,NMDC,Mining - Iron Ore
Aurobindo Pharma Ltd,AUROPHARMA,Pharmaceuticals
Hindustan Petroleum Corp Ltd,HINDPETRO,Oil & Gas - Refining & Marketing
Meesho Ltd,MEESHO,Retail - Online
SRF Ltd,SRF,Diversified Chemicals
Adani Total Gas Ltd,ATGL,Gas Distribution
National Aluminium Co Ltd,NATIONALUM,Metals - Aluminium
Oil India Ltd,OIL,Oil & Gas - Exploration & Production
IDBI Bank Ltd,IDBI,Private Banks
FSN E-Commerce Ventures Ltd,NYKAA,Wellness Services
PB Fintech Ltd,POLICYBZR,Online Services
Dabur India Ltd,DABUR,FMCG - Personal Products
Suzlon Energy Ltd,SUZLON,Renewable Energy Equipment & Services
Laurus Labs Ltd,LAURUSLABS,Pharmaceuticals
Bharti Hexacom Ltd,BHARTIHEXA,Telecom Services
Havells India Ltd,HAVELLS,Electrical Components & Equipments
Multi Commodity Exchange of India Ltd,MCX,Stock Exchanges & Ratings
AU Small Finance Bank Ltd,AUBANK,Consumer Finance
NHPC Ltd,NHPC,Renewable Energy
Federal Bank Ltd,FEDERALBNK,Private Banks
Torrent Power Ltd,TORNTPOWER,Power Transmission & Distribution
Yes Bank Ltd,YESBANK,Private Banks
Indusind Bank Ltd,INDUSINDBK,Private Banks
Dixon Technologies (India) Ltd,DIXON,Home Electronics & Appliances
Fortis Healthcare Ltd,FORTIS,Hospitals & Diagnostic Centres
ICICI Prudential Life Insurance Company Ltd,ICICIPRULI,Insurance
Nippon Life India Asset Management Ltd,NAM-INDIA,Asset Management
Bajaj Housing Finance Ltd,BAJAJHFL,Consumer Finance
One 97 Communications Ltd,PAYTM,Online Services
L&T Finance Ltd,LTF,Consumer Finance
Biocon Ltd,BIOCON,Biotechnology
General Insurance Corporation of India,GICRE,Insurance
Swiggy Ltd,SWIGGY,Online Services
Info Edge (India) Ltd,NAUKRI,Online Services
Coforge Ltd,COFORGE,IT Services & Consulting
Schaeffler India Ltd,SCHAEFFLER,Auto Parts
Indian Overseas Bank,IOB,Public Banks
UNO Minda Ltd,UNOMINDA,Auto Parts
Alkem Laboratories Ltd,ALKEM,Pharmaceuticals
Bank of India Ltd,BANKINDIA,Public Banks
Glenmark Pharmaceuticals Ltd,GLENMARK,Pharmaceuticals
IDFC First Bank Ltd,IDFCFIRSTB,Private Banks
Phoenix Mills Ltd,PHOENIXLTD,Real Estate
Oberoi Realty Ltd,OBEROIRLTY,Real Estate
Bank of Maharashtra Ltd,MAHABANK,Public Banks
CPSE ETF,CPSEETF,Equity
Tube Investments of India Ltd,TIINDIA,Cycles
Prestige Estates Projects Ltd,PRESTIGE,Real Estate
Berger Paints India Ltd,BERGEPAINT,Paints
Linde India Ltd,LINDEINDIA,Commodity Chemicals
SBI Cards and Payment Services Ltd,SBICARD,Payment Infrastructure
JSW Infrastructure Ltd,JSWINFRA,Ports
Jindal Stainless Ltd,JSL,Iron & Steel
Fertilisers And Chemicals Travancore Ltd,FACT,Fertilizers & Agro Chemicals
Thermax Limited,THERMAX,Industrial Machinery
Abbott India Ltd,ABBOTINDIA,Pharmaceuticals
Vishal Mega Mart Ltd,VMM,FMCG - Foods
Max Financial Services Ltd,MFSL,Insurance
Colgate-Palmolive (India) Ltd,COLPAL,FMCG - Personal Products
Tata Communications Ltd,TATACOMM,Telecom Services
UPL Ltd,UPL,Fertilizers & Agro Chemicals
HDB Financial Services Ltd,HDBFS,Consumer Finance
Apar Industries Ltd,APARINDS,Electrical Components & Equipments
MRF Ltd,MRF,Tires & Rubber
Hindustan Copper Ltd,HINDCOPPER,Mining - Copper
Motilal Oswal Financial Services Ltd,MOTILALOFS,Diversified Financials
Godrej Properties Ltd,GODREJPROP,Real Estate
Altius Telecom Infrastructure Trust,ALTIUSINVIT,Telecom Infrastructure
Coromandel International Ltd,COROMANDEL,Fertilizers & Agro Chemicals
Knowledge Realty Trust,KRT,Real Estate
KEI Industries Ltd,KEI,Cables
Rail Vikas Nigam Ltd,RVNL,Specialized Finance
Patanjali Foods Ltd,PATANJALI,Packaged Foods & Meats
APL Apollo Tubes Ltd,APLAPOLLO,Building Products - Pipes
Premier Energies Ltd,PREMIERENE,Renewable Energy
NLC India Ltd,NLCINDIA,Metals - Diversified
Sundaram Finance Ltd,SUNDARMFIN,Consumer Finance
Radico Khaitan Ltd,RADICO,Alcoholic Beverages
Mphasis Ltd,MPHASIS,IT Services & Consulting
Supreme Industries Ltd,SUPREMEIND,Plastic Products
360 One Wam Ltd,360ONE,Investment Banking & Brokerage
Bharat Dynamics Ltd,BDL,Aerospace & Defense Equipments
Anthem Biosciences Ltd,ANTHEM,Biotechnology
AIA Engineering Ltd,AIAENG,Industrial Machinery
Page Industries Ltd,PAGEIND,Apparel & Accessories
Balkrishna Industries Ltd,BALKRISIND,Tires & Rubber
PI Industries Ltd,PIIND,Diversified Chemicals
Indian Railway Catering and Tourism Corporation Ltd,IRCTC,Online Services
Embassy Office Parks REIT,EMBASSY,Real Estate
Voltas Ltd,VOLTAS,Home Electronics & Appliances
Astral Ltd,ASTRAL,Building Products - Pipes
Mahindra and Mahindra Financial Services Ltd,M&MFIN,Consumer Finance
UTI Nifty 50 ETF,NIFTYBETA,Equity
Housing and Urban Development Corporation Ltd,HUDCO,Specialized Finance
Petronet LNG Ltd,PETRONET,Oil & Gas - Storage & Transportation
Gujarat Fluorochemicals Ltd,FLUOROCHEM,Specialty Chemicals
Narayana Hrudayalaya Ltd,NH,Hospitals & Diagnostic Centres
J K Cement Ltd,JKCEMENT,Cement
Cochin Shipyard Ltd,COCHINSHIP,Shipbuilding
Authum Investment & Infrastructure Ltd,AIIL,Specialized Finance
IPCA Laboratories Ltd,IPCALAB,Pharmaceuticals
Sona BLW Precision Forgings Ltd,SONACOMS,Auto Parts
Aditya Infotech Ltd,CPPLUS,Electronic Equipments
Endurance Technologies Ltd,ENDURANCE,Auto Parts
Aster DM Healthcare Ltd,ASTERDM,Hospitals & Diagnostic Centres
Gland Pharma Ltd,GLAND,Pharmaceuticals
Gujarat Energy Ltd,GUJGASLTD,Gas Distribution
L&T Technology Services Ltd,LTTS,Software Services
GlaxoSmithKline Pharmaceuticals Ltd,GLAXO,Pharmaceuticals
Ather Energy Ltd,ATHERENERG,Two Wheelers
3M India Ltd,3MINDIA,Stationery
Welspun Corp Ltd,WELCORP,Iron & Steel
Kalyan Jewellers India Ltd,KALYANKJIL,"Precious Metals, Jewellery & Watches"
Ajanta Pharma Ltd,AJANTPHARM,Pharmaceuticals
Navin Fluorine International Ltd,NAVINFLUOR,Specialty Chemicals
National Highways Infra Trust,NHIT,Roads
Godrej Industries Ltd,GODREJIND,Diversified Chemicals
Godfrey Phillips India Ltd,GODFRYPHLP,FMCG - Tobacco
Bagmane Prime Office REIT,BAGMANE,Real Estate
Indian Renewable Energy Development Agency Ltd,IREDA,Specialized Finance
Container Corporation of India Ltd,CONCOR,Logistics
United Breweries Ltd,UBL,Alcoholic Beverages
Poonawalla Fincorp Ltd,POONAWALLA,Consumer Finance
Exide Industries Ltd,EXIDEIND,Batteries
J B Chemicals and Pharmaceuticals Ltd,JBCHEPHARM,Pharmaceuticals
KPR Mill Ltd,KPRMILL,Textiles
Tata Investment Corporation Ltd,TATAINVEST,Asset Management
Hexaware Technologies Ltd,HEXT,IT Services & Consulting
Bandhan Bank Ltd,BANDHANBNK,Private Banks
Dalmia Bharat Ltd,DALBHARAT,Cement
Delhivery Ltd,DELHIVERY,Logistics
Blue Star Ltd,BLUESTARCO,Home Electronics & Appliances
Emcure Pharmaceuticals Ltd,EMCURE,Pharmaceuticals
Global Health Ltd,MEDANTA,Hospitals & Diagnostic Centres
Wockhardt Ltd,WOCKPHARMA,Pharmaceuticals
ITC Hotels Ltd,ITCHOTELS,"Hotels, Resorts & Cruise Lines"
Star Health and Allied Insurance Company Ltd,STARHEALTH,Insurance
Angel One Ltd,ANGELONE,Investment Banking & Brokerage
UCO Bank,UCOBANK,Public Banks
Honeywell Automation India Ltd,HONAUT,Electronic Equipments
Mindspace Business Parks REIT,MINDSPACE,Real Estate
Himadri Speciality Chemical Ltd,HSCL,Commodity Chemicals
Procter & Gamble Hygiene and Health Care Ltd,PGHH,FMCG - Personal Products
Escorts Kubota Ltd,ESCORTS,Tractors
Tata Technologies Ltd,TATATECH,IT Services & Consulting
Garden Reach Shipbuilders & Engineers Ltd,GRSE,Shipbuilding
Krishna Institute of Medical Sciences Ltd,KIMS,Hospitals & Diagnostic Centres
Aditya Birla Sun Life AMC Ltd,ABSLAMC,Asset Management
Manappuram Finance Ltd,MANAPPURAM,Consumer Finance
LIC Housing Finance Ltd,LICHSGFIN,Home Financing
Anand Rathi Wealth Ltd,ANANDRATHI,Asset Management
HFCL Ltd,HFCL,Telecom Equipments
Sterlite Technologies Ltd,STLTECH,Telecom Equipments
Go Digit General Insurance Ltd,GODIGIT,Insurance
Nuvama Wealth Management Ltd,NUVAMA,Diversified Financials
ITI Ltd,ITI,Telecom Equipments
Nippon India Silver ETF,SILVERBEES,Silver
Karur Vysya Bank Ltd,KARURVYSYA,Private Banks
Jubilant Foodworks Ltd,JUBLFOOD,Restaurants & Cafes
SJVN Ltd,SJVN,Renewable Energy
Schneider Electric Infrastructure Ltd,SCHNEIDER,Heavy Electrical Equipments
Tata Elxsi Ltd,TATAELXSI,Software Services
CRISIL Ltd,CRISIL,Stock Exchanges & Ratings
NBCC (India) Ltd,NBCC,Construction & Engineering
Metro Brands Ltd,METROBRAND,Footwear
Inventurus Knowledge Solutions Ltd,IKS,Health Care Equipment & Supplies
Physicswallah Ltd,PWL,Education Services
Cholamandalam Financial Holdings Ltd,CHOLAHLDNG,Diversified Financials
TVS Holdings Ltd,TVSHLTD,Auto Parts
Shyam Metalics and Energy Ltd,SHYAMMETL,Iron & Steel
Netweb Technologies India Ltd,NETWEB,IT Services & Consulting
ZF Commercial Vehicle Control Systems India Ltd,ZFCVINDIA,Auto Parts
Kirloskar Oil Engines Ltd,KIRLOSENG,Industrial Machinery
Aegis Logistics Ltd,AEGISLOG,Oil & Gas - Storage & Transportation
Central Bank of India Ltd,CENTRALBK,Public Banks
Amber Enterprises India Ltd,AMBER,Home Electronics & Appliances
Timken India Ltd,TIMKEN,Industrial Machinery
Brookfield India Real Estate Trust,BIRET,Real Estate
PTC Industries Ltd,PTCIL,Iron & Steel
Dr. Lal PathLabs Ltd,LALPATHLAB,Hospitals & Diagnostic Centres
IRB Infrastructure Developers Ltd,IRB,Construction & Engineering
PNB Housing Finance Ltd,PNBHOUSING,Home Financing
Mangalore Refinery and Petrochemicals Ltd,MRPL,Oil & Gas - Refining & Marketing
ACC Ltd,ACC,Cement
Central Depository Services (India) Ltd,CDSL,Stock Exchanges & Ratings
Motherson Sumi Wiring India Ltd,MSUMI,Cables
Gillette India Ltd,GILLETTE,FMCG - Personal Products
Acutaas Chemicals Ltd,ACUTAAS,Biotechnology
Nippon India ETF Nifty IT,ITBEES,Equity
Apollo Tyres Ltd,APOLLOTYRE,Tires & Rubber
AWL Agri Business Ltd,AWL,FMCG - Foods
New India Assurance Company Ltd,NIACL,Insurance
Sumitomo Chemical India Ltd,SUMICHEM,Commodity Chemicals
Sai Life Sciences Ltd,SAILIFE,Biotechnology
CESC Ltd,CESC,Power Generation
KIOCL Ltd,KIOCL,Iron & Steel
Force Motors Ltd,FORCEMOT,Four Wheelers
Nexus Select Trust,NXST,Real Estate
Tenneco Clean Air India Ltd,TENNIND,Auto Parts
Deepak Nitrite Ltd,DEEPAKNTR,Commodity Chemicals
Asahi India Glass Ltd,ASAHIINDIA,Auto Parts
R R Kabel Ltd,RRKABEL,Cables
Bharat 22 ETF,ICICIB22,Equity
Data Patterns (India) Ltd,DATAPATTNS,Aerospace & Defense Equipments
Indraprastha Gas Ltd,IGL,Gas Distribution
Syrma SGS Technology Ltd,SYRMA,Electronic Equipments
HBL Engineering Ltd,HBLENGINE,Batteries
MTAR Technologies Ltd,MTARTECH,Industrial Machinery
Piramal Pharma Ltd,PPLPHARMA,Pharmaceuticals
Kalpataru Projects International Ltd,KPIL,Power Infrastructure
KPIT Technologies Ltd,KPITTECH,IT Services & Consulting
Triveni Turbine Ltd,TRITURBINE,Heavy Electrical Equipments
Astrazeneca Pharma India Ltd,ASTRAZEN,Pharmaceuticals
Neuland Laboratories Ltd,NEULANDLAB,Pharmaceuticals
Great Eastern Shipping Company Ltd,GESHIP,Oil & Gas - Storage & Transportation
Aegis Vopak Terminals Ltd,AEGISVOPAK,Oil & Gas - Storage & Transportation
Rubicon Research Ltd,RUBICON,Pharmaceuticals
Emmvee Photovoltaic Power Ltd,EMMVEE,Renewable Energy Equipment & Services
Craftsman Automation Ltd,CRAFTSMAN,Industrial Machinery
RBL Bank Ltd,RBLBANK,Private Banks
Gujarat Mineral Development Corporation Ltd,GMDCLTD,Mining - Diversified
Kaynes Technology India Ltd,KAYNES,Electrical Components & Equipments
Affle 3i Ltd,AFFLE,Advertising
CreditAccess Grameen Ltd,CREDITACC,Consumer Finance
Onesource Specialty Pharma Ltd,ONESOURCE,Biotechnology
Sammaan Capital Ltd,SAMMAANCAP,Home Financing
Pfizer Ltd,PFIZER,Pharmaceuticals
Ramco Cements Ltd,RAMCOCEM,Cement
Grindwell Norton Ltd,GRINDWELL,Industrial Machinery
Hatsun Agro Product Ltd,HATSUN,FMCG - Foods
Sun Tv Network Ltd,SUNTV,TV Channels & Broadcasters
IIFL Finance Ltd,IIFL,Investment Banking & Brokerage
Aadhar Housing Finance Ltd,AADHARHFC,Consumer Finance
ACME Solar Holdings Ltd,ACMESOLAR,Renewable Energy
Bayer Cropscience Ltd,BAYERCROP,Fertilizers & Agro Chemicals
Cube Highways Trust,CUBEINVIT,Roads
Anant Raj Ltd,ANANTRAJ,Real Estate
UTI BSE Sensex ETF,SENSEXBETA,Equity
Atul Ltd,ATUL,Diversified Chemicals
Carborundum Universal Ltd,CARBORUNIV,Industrial Machinery
Sagility Ltd,SAGILITY,Specialized Finance
Belrise Industries Ltd,BELRISE,Auto Parts
IFCI Ltd,IFCI,Specialized Finance
TD Power Systems Ltd,TDPOWERSYS,Heavy Electrical Equipments
Godawari Power and Ispat Ltd,GPIL,Iron & Steel
Granules India Ltd,GRANULES,Pharmaceuticals
Computer Age Management Services Ltd,CAMS,Diversified Financials
Capri Global Capital Ltd,CGCL,Consumer Finance
Eris Lifesciences Ltd,ERIS,Pharmaceuticals
Chambal Fertilisers and Chemicals Ltd,CHAMBLFERT,Fertilizers & Agro Chemicals
Tata Chemicals Ltd,TATACHEM,Diversified Chemicals
Firstsource Solutions Ltd,FSL,Outsourced services
Redington Ltd,REDINGTON,Technology Hardware
Elgi Equipments Ltd,ELGIEQUIP,Industrial Machinery
City Union Bank Ltd,CUB,Private Banks
Sansera Engineering Ltd,SANSERA,Auto Parts
Sarda Energy & Minerals Ltd,SARDAEN,Iron & Steel
Black Box Ltd,BBOX,Software Services
Castrol India Ltd,CASTROLIND,Commodity Chemicals
EIH Ltd,EIHOTEL,"Hotels, Resorts & Cruise Lines"
Bharat Coking Coal Ltd,BHARATCOAL,Mining - Coal
Cemindia Projects Ltd,CEMPRO,Construction & Engineering
Fractal Analytics Ltd,FRACTAL,IT Services & Consulting
Ratnamani Metals and Tubes Ltd,RATNAMANI,Building Products - Pipes
Kajaria Ceramics Ltd,KAJARIACER,Building Products - Ceramics
Vardhman Textiles Ltd,VTL,Textiles
Deepak Fertilisers and Petrochemicals Corp Ltd,DEEPAKFERT,Fertilizers & Agro Chemicals
Syngene International Ltd,SYNGENE,Labs & Life Sciences Services
Prime Focus Ltd,PFOCUS,Animation
Urban Company Ltd,URBANCO,Online Services
Crompton Greaves Consumer Electricals Ltd,CROMPTON,Home Electronics & Appliances
Sundram Fasteners Ltd,SUNDRMFAST,Auto Parts
JSW Cement Ltd,JSWCEMENT,Cement
Kansai Nerolac Paints Ltd,KANSAINER,Paints
Chalet Hotels Ltd,CHALET,"Hotels, Resorts & Cruise Lines"
Emami Ltd,EMAMILTD,FMCG - Personal Products
Aarti Industries Ltd,AARTIIND,Specialty Chemicals
Nava Limited,NAVA,Iron & Steel
Chennai Petroleum Corporation Ltd,CHENNPETRO,Oil & Gas - Refining & Marketing
LMW Ltd,LMW,Industrial Machinery
CIE Automotive India Ltd,CIEINDIA,Auto Parts
Natco Pharma Ltd,NATCOPHARM,Pharmaceuticals
Central Mine Planning & Design Institute Ltd,CMPDI,Mining - Diversified
Century Plyboards (India) Ltd,CENTURYPLY,Wood Products
Punjab & Sind Bank,PSB,Public Banks
Ola Electric Mobility Ltd,OLAELEC,Two Wheelers
Bikaji Foods International Ltd,BIKAJI,FMCG - Foods
Cohance Lifesciences Ltd,COHANCE,Pharmaceuticals
Pine Labs Ltd,PINELABS,Software Services
IndiGrid Infrastructure Trust,INDIGRID,Power Transmission & Distribution
Vertis Infrastructure Trust,VERTIS,Roads
Travel Food Services Ltd,TRAVELFOOD,Airports
National Securities Depository Ltd,NSDL,Stock Exchanges & Ratings
Gallantt Ispat Ltd,GALLANTT,Iron & Steel
DCM Shriram Ltd,DCMSHRIRAM,Diversified Chemicals
Brigade Enterprises Ltd,BRIGADE,Real Estate
Amara Raja Energy & Mobility Ltd,ARE&M,Batteries
Zydus Wellness Ltd,ZYDUSWELL,FMCG - Foods
Avanti Feeds Ltd,AVANTIFEED,Packaged Foods & Meats
International Gemological Institute Ltd,IGIL,Education Services
Jammu and Kashmir Bank Ltd,J&KBANK,Private Banks
Apollo Micro Systems Ltd,APOLLO,Electronic Equipments
Niva Bupa Health Insurance Company Ltd,NIVABUPA,Insurance
Gabriel India Ltd,GABRIEL,Auto Parts
Jubilant Pharmova Ltd,JUBLPHARMA,Pharmaceuticals
NMDC Steel Ltd,NSLNISP,Iron & Steel
Jindal SAW Ltd,JINDALSAW,Building Products - Pipes
Finolex Cables Ltd,FINCABLES,Cables
JBM Auto Ltd,JBMA,Auto Parts
Allied Blenders and Distillers Ltd,ABDL,Alcoholic Beverages
SPR Auto Technologies Ltd,SHRIPISTON,Auto Parts
Gujarat State Petronet Ltd,GSPL,Gas Distribution
Caplin Point Laboratories Ltd,CAPLIPOINT,Pharmaceuticals
Dr. Agarwal's Health Care Ltd,AGARWALEYE,Hospitals & Diagnostic Centres
Anupam Rasayan India Ltd,ANURAS,Specialty Chemicals
Zen Technologies Ltd,ZENTEC,Electronic Equipments
Atlanta Electricals Ltd,ATLANTAELE,Electrical Components & Equipments
Usha Martin Ltd,USHAMART,Iron & Steel
Nippon India ETF Gold BeES,GOLDBEES,Gold
Sobha Ltd,SOBHA,Real Estate
Minda Corporation Ltd,MINDACORP,Auto Parts
Kfin Technologies Ltd,KFINTECH,Business Support Services
Ventive Hospitality Ltd,VENTIVE,"Hotels, Resorts & Cruise Lines"
Choice International Ltd,CHOICEIN,Investment Banking & Brokerage
Aether Industries Ltd,AETHER,Specialty Chemicals
Maharashtra Scooters Ltd,MAHSCOOTER,Two Wheelers
Inox Wind Ltd,INOXWIND,Heavy Electrical Equipments
BASF India Ltd,BASF,Diversified Chemicals
BEML Ltd,BEML,Rail
Thangamayil Jewellery Ltd,THANGAMAYL,"Precious Metals, Jewellery & Watches"
Alembic Pharmaceuticals Ltd,APLLTD,Pharmaceuticals
CCL Products (India) Ltd,CCL,Tea & Coffee
JSW Dulux Ltd,JSWDULUX,Paints
Shipping Corporation of India Ltd,SCI,Logistics
Graphite India Ltd,GRAPHITE,Electrical Components & Equipments
Fine Organic Industries Ltd,FINEORG,Specialty Chemicals
Shaily Engineering Plastics Ltd,SHAILY,Industrial Machinery
eClerx Services Ltd,ECLERX,Outsourced services
JSW Holdings Ltd,JSWHL,Asset Management
Devyani International Ltd,DEVYANI,Restaurants & Cafes
Welspun Living Ltd,WELSPUNLIV,Textiles
Tega Industries Ltd,TEGA,Industrial Machinery
PG Electroplast Ltd,PGEL,Electronic Equipments
Garware Hi-Tech Films Ltd,GRWRHITECH,Commodity Chemicals
Nippon India ETF Nifty Bank BeES,BANKBEES,Equity
Leela Palaces Hotels & Resorts Ltd,THELEELA,"Hotels, Resorts & Cruise Lines"
Jyoti CNC Automation Ltd,JYOTICNC,Industrial Machinery
Vinati Organics Ltd,VINATIORGA,Specialty Chemicals
